time_ms,SO2_pptv,off_cts_norm,on_cts_norm,off_lsr_pwr_V,on_lsr_pwr_V
3734428742624.0,5143857.603206445,8701.161923843327,65855.13529280384,78154.0,90442.0
3734428742724.0,5157550.2692799345,9079.22926472701,66385.3433678374,76714.5,89745.57142857143
3734428742824.0,5121580.022844751,8807.17765605691,65713.62235433194,76940.0,89480.85714285714
3734428742924.0,5124453.168005763,9464.692112586878,66403.06064598424,76420.5,89987.14285714286
3734428743024.0,5101858.61907766,9101.084665063507,65788.40265481529,77989.0,90337.85714285714
3734428743124.0,5206905.825762898,8799.55666704236,66654.06584218566,76225.0,90422.28571428571
3734428743224.0,5260061.321712482,8442.36137751709,66887.48717432245,78406.0,90127.0
3734428743324.0,5199524.056440564,9669.784043813142,67442.27355981941,77559.5,89644.85714285714
3734428743424.0,5184866.137494377,9164.85081700534,66774.47456694287,76702.0,89714.42857142857
3734428743524.0,5238779.93050245,7860.672060718607,66069.33795519028,78158.5,90240.0
3734428743624.0,5044179.598916858,9386.089532676757,65432.52952064185,77171.0,90538.0
3734428743724.0,5075907.732057907,9673.47492221976,66072.44972286317,74821.0,90122.71428571429
3734428743824.0,5349886.885683216,8555.468457215993,67998.65607591839,76010.0,89590.14285714286
3734428743924.0,5298686.287987071,8370.486830496995,67244.77891924224,78317.5,89549.85714285714
3734428744024.0,5277456.235595323,8707.402792984118,67345.80541070993,75217.0,90182.71428571429
3734428744124.0,5033660.943890196,10151.108730721699,66080.6747739461,76627.5,90410.0
3734428744224.0,5126842.070537025,8584.046198703387,65548.95809355922,76136.5,90120.85714285714
3734428744324.0,5324140.668433179,8408.815741038437,67565.93427918488,77830.0,89297.0
3734428744424.0,5228970.823104378,8630.6441787525,66730.31999102337,76185.0,88724.42857142857
3734428744524.0,5112155.775653852,9400.956739378838,66202.6875799772,76531.0,89588.71428571429
3734428744624.0,5154460.913331676,8278.593697196828,65550.38162310435,77543.0,89705.42857142857
3734428744724.0,5175900.962366307,9155.207955647822,66665.2186486068,75939.5,89538.28571428571
3734428744824.0,5270160.507222527,8867.946384457522,67425.28535359672,76576.0,89201.0
3734428744924.0,5272455.713714669,8195.948554121436,66778.78981761777,75524.0,88588.42857142857
3734428745024.0,5243893.798142688,8619.289377084726,66884.77602311461,77197.5,89015.14285714286
3734428745124.0,5226618.21273694,8571.281591216477,66644.81728829359,77776.0,89571.85714285714
3734428745224.0,5151452.515099061,9367.05713951145,66605.4184183899,77899.5,89760.57142857143
3734428745324.0,5081200.356158086,9499.228392317254,65957.0101274071,77753.0,89331.28571428571
3734428745424.0,5366059.171962417,8689.281142943611,68312.1608314149,76690.0,88811.14285714286
3734428745524.0,5301819.196029023,8882.05058662847,67791.15276472873,76056.0,88816.85714285714
3734428745624.0,5085177.84519773,8977.942359781842,65479.9184175344,76207.0,89395.28571428571
3734428745724.0,5222781.544536038,8838.981630853525,66869.88768125395,78006.5,89687.85714285714
3734428745824.0,5181079.936621056,8560.744156386885,66128.29900773196,77182.5,90027.0
3734428745924.0,5275881.339490372,7890.053171847849,66510.95694396309,75859.0,89146.42857142857
3734428746024.0,5196440.238240938,8264.717316443826,66002.94218578759,75054.5,89240.57142857143
3734428746124.0,5224543.681551341,8657.870734188324,66708.35608475878,76311.5,89632.57142857143
3734428746224.0,5035905.2745504035,9562.570495919961,65517.07354648,75841.5,90415.14285714286
3734428746324.0,5232066.173903818,9337.945592301552,67472.01419123287,76501.0,89800.14285714286
3734428746424.0,5086798.212981551,8642.484273891327,65162.46441813079,75962.0,89707.0
3734428746524.0,5141485.673142471,8647.906013891314,65775.52460436322,76340.5,89140.57142857143
